video,exercise,rule,expected,detected,result
LP01_correct.mp4,pulldown,pulldown_rom,no,pass,TN
LP01_correct.mp4,pulldown,pulldown_torso,no,fail,FP
LP02_excessive_lean.mp4,pulldown,pulldown_rom,no,-,NOT_ANALYSED
LP02_excessive_lean.mp4,pulldown,pulldown_torso,yes,-,NOT_ANALYSED
LP03_limited_rom.mp4,pulldown,pulldown_rom,yes,pass,FN
LP03_limited_rom.mp4,pulldown,pulldown_torso,no,pass,TN
LP04_front_view.mp4,pulldown,pulldown_rom,no,pass,TN
LP04_front_view.mp4,pulldown,pulldown_torso,no,pass,TN
SP01_correct.mp4,press,press_symmetry,no,pass,TN
SP01_correct.mp4,press,press_alignment,no,pass,TN
SP01_correct.mp4,press,press_rom,no,pass,TN
SP02_asymmetric.mp4,press,press_symmetry,yes,fail,TP
SP02_asymmetric.mp4,press,press_alignment,no,pass,TN
SP02_asymmetric.mp4,press,press_rom,no,fail,FP
SP04_incomplete_rom.mp4,press,press_symmetry,no,pass,TN
SP04_incomplete_rom.mp4,press,press_alignment,no,pass,TN
SP04_incomplete_rom.mp4,press,press_rom,yes,fail,TP
SP05_side_view.mp4,press,press_symmetry,no,not_evaluable,NOT_ASSESSED
SP05_side_view.mp4,press,press_alignment,no,not_evaluable,NOT_ASSESSED
SP05_side_view.mp4,press,press_rom,no,pass,TN
SQ01a_correct_weighted.mp4,squat,squat_depth,no,pass,TN
SQ01a_correct_weighted.mp4,squat,torso_lean,no,pass,TN
SQ01a_correct_weighted.mp4,squat,heel_lift,no,pass,TN
SQ01a_correct_weighted.mp4,squat,return_to_standing,no,pass,TN
SQ01a_correct_weighted.mp4,squat,descent_control,no,pass,TN
SQ01b_correct_bodyweight.mp4,squat,squat_depth,no,pass,TN
SQ01b_correct_bodyweight.mp4,squat,torso_lean,no,pass,TN
SQ01b_correct_bodyweight.mp4,squat,heel_lift,no,pass,TN
SQ01b_correct_bodyweight.mp4,squat,return_to_standing,no,pass,TN
SQ01b_correct_bodyweight.mp4,squat,descent_control,no,pass,TN
SQ02_to_parallel.mp4,squat,squat_depth,no,pass,TN
SQ02_to_parallel.mp4,squat,torso_lean,no,pass,TN
SQ02_to_parallel.mp4,squat,heel_lift,no,pass,TN
SQ02_to_parallel.mp4,squat,return_to_standing,no,pass,TN
SQ02_to_parallel.mp4,squat,descent_control,no,pass,TN
SQ03_heel_lift.mp4,squat,squat_depth,no,pass,TN
SQ03_heel_lift.mp4,squat,torso_lean,no,pass,TN
SQ03_heel_lift.mp4,squat,heel_lift,yes,pass,FN
SQ03_heel_lift.mp4,squat,return_to_standing,no,pass,TN
SQ03_heel_lift.mp4,squat,descent_control,no,pass,TN
SQ04_setup_heel_lift.mp4,squat,squat_depth,no,pass,TN
SQ04_setup_heel_lift.mp4,squat,torso_lean,no,pass,TN
SQ04_setup_heel_lift.mp4,squat,heel_lift,yes,warning,TP
SQ04_setup_heel_lift.mp4,squat,return_to_standing,no,pass,TN
SQ04_setup_heel_lift.mp4,squat,descent_control,no,pass,TN
XX01_wrong_exercise.mp4,press,press_symmetry,no,not_evaluable,NOT_ASSESSED
XX01_wrong_exercise.mp4,press,press_alignment,no,not_evaluable,NOT_ASSESSED
XX01_wrong_exercise.mp4,press,press_rom,no,warning,FP
