video,exercise,expected,analysed,failure,reps,partial_movements,score,analysis_reliability,recording_quality,camera_orientation,detected,not_assessed,rule_statuses,rule_reliabilities,measurements
LP01_correct.mp4,pulldown,correct,True,,4,0,56,high,good,side,pulldown_torso,,"{""pulldown_rom"": ""pass"", ""pulldown_torso"": ""fail""}","{""pulldown_rom"": ""high"", ""pulldown_torso"": ""high""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.2, ""contracted"": 1.3, ""end"": 2.566666666666667, ""pull_s"": 1.0, ""contracted_s"": 0.19999999999999996, ""return_s"": 1.1333333333333335, ""top_elbow_angle"": 177.41154208374797, ""bottom_elbow_angle"": 53.987447075808696, ""rom_degrees"": 123.42409500793929, ""max_torso_excursion"": 25.185928519629893, ""peak_torso_velocity"": 124.70423877434914, ""wrist_travel"": 1.0827201780749924, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 0.20833333333333334, ""torso_reliable"": true}, {""rep"": 2, ""start"": 3.7, ""contracted"": 4.3, ""end"": 6.0, ""pull_s"": 0.5, ""contracted_s"": 0.20000000000000018, ""return_s"": 1.5666666666666664, ""top_elbow_angle"": 177.41154208374797, ""bottom_elbow_angle"": 53.950454752620615, ""rom_degrees"": 123.46108733112736, ""max_torso_excursion"": 26.891488236665904, ""peak_torso_velocity"": 88.84490716854401, ""wrist_travel"": 1.010607509596456, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 0.24285714285714285, ""torso_reliable"": true}, {""rep"": 3, ""start"": 7.166666666666667, ""contracted"": 8.233333333333333, ""end"": 9.566666666666666, ""pull_s"": 0.9666666666666659, ""contracted_s"": 0.20000000000000107, ""return_s"": 1.1999999999999993, ""top_elbow_angle"": 176.2698349510484, ""bottom_elbow_angle"": 51.28055110168252, ""rom_degrees"": 124.98928384936589, ""max_torso_excursion"": 24.91714111503165, ""peak_torso_velocity"": 100.55454112138803, ""wrist_travel"": 0.9795137679811913, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 0.2191780821917808, ""torso_reliable"": true}, {""rep"": 4, ""start"": 10.7, ""contracted"": 11.466666666666667, ""end"": 13.066666666666666, ""pull_s"": 0.6666666666666679, ""contracted_s"": 0.1999999999999993, ""return_s"": 1.4666666666666668, ""top_elbow_angle"": 176.2698349510484, ""bottom_elbow_angle"": 51.13332141438672, ""rom_degrees"": 125.13651353666168, ""max_torso_excursion"": 26.132594530319093, ""peak_torso_velocity"": 119.08927517467113, ""wrist_travel"": 1.0616823518389555, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 0.2361111111111111, ""torso_reliable"": true}], ""thresholds"": {""rest_level"": 167.6, ""start_level"": 159.6, ""extreme_level"": 143.6, ""end_level"": 163.6}}"
LP02_excessive_lean.mp4,pulldown,pulldown_torso,False,no_complete_repetition: We couldn't detect a complete lat pulldown clearly in this video. 2 partial movement(s) were seen but did not qualify as full repetitions.,0,0,,,,,correct,,{},{},{}
LP03_limited_rom.mp4,pulldown,pulldown_rom,True,,2,1,100,high,good,side,correct,,"{""pulldown_rom"": ""pass"", ""pulldown_torso"": ""pass""}","{""pulldown_rom"": ""high"", ""pulldown_torso"": ""high""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.23333333333333334, ""contracted"": 1.0333333333333334, ""end"": 1.9333333333333333, ""pull_s"": 0.7, ""contracted_s"": 0.19999999999999996, ""return_s"": 0.7666666666666666, ""top_elbow_angle"": 172.2636438947664, ""bottom_elbow_angle"": 70.21547159366331, ""rom_degrees"": 102.0481723011031, ""max_torso_excursion"": 14.355841604774579, ""peak_torso_velocity"": 67.83269972550544, ""wrist_travel"": 1.025510283870195, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 0.3269230769230769, ""torso_reliable"": true}, {""rep"": 2, ""start"": 2.7333333333333334, ""contracted"": 3.433333333333333, ""end"": 4.5, ""pull_s"": 0.6000000000000001, ""contracted_s"": 0.19999999999999973, ""return_s"": 0.9333333333333331, ""top_elbow_angle"": 173.22393249425613, ""bottom_elbow_angle"": 71.49573408888149, ""rom_degrees"": 101.72819840537464, ""max_torso_excursion"": 15.500300348250548, ""peak_torso_velocity"": 126.6842290815918, ""wrist_travel"": 1.0635723042218868, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 0.2962962962962963, ""torso_reliable"": true}], ""thresholds"": {""rest_level"": 165.1, ""start_level"": 157.1, ""extreme_level"": 141.1, ""end_level"": 161.1}}"
LP04_front_view.mp4,pulldown,correct,True,,2,0,100,medium,limited,diagonal_side,correct,,"{""pulldown_rom"": ""pass"", ""pulldown_torso"": ""pass""}","{""pulldown_rom"": ""medium"", ""pulldown_torso"": ""medium""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.4666666666666667, ""contracted"": 1.5666666666666667, ""end"": 3.1666666666666665, ""pull_s"": 0.9999999999999999, ""contracted_s"": 0.20000000000000018, ""return_s"": 1.4666666666666666, ""top_elbow_angle"": 177.2489127823402, ""bottom_elbow_angle"": 33.08290615802658, ""rom_degrees"": 144.1660066243136, ""max_torso_excursion"": 14.813534247795193, ""peak_torso_velocity"": 35.42546580680788, ""wrist_travel"": 1.0344306377070853, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 1.0, ""torso_reliable"": true}, {""rep"": 2, ""start"": 3.7666666666666666, ""contracted"": 5.0, ""end"": 6.466666666666667, ""pull_s"": 1.1333333333333337, ""contracted_s"": 0.1999999999999993, ""return_s"": 1.333333333333333, ""top_elbow_angle"": 177.2489127823402, ""bottom_elbow_angle"": 51.91144608665682, ""rom_degrees"": 125.33746669568339, ""max_torso_excursion"": 14.987234344897427, ""peak_torso_velocity"": 43.6086044912071, ""wrist_travel"": 0.9869314976784956, ""valid_frame_ratio"": 1.0, ""arms_reliable"": true, ""both_arms_ratio"": 1.0, ""torso_reliable"": true}], ""thresholds"": {""rest_level"": 168.7, ""start_level"": 160.7, ""extreme_level"": 144.7, ""end_level"": 164.7}}"
SP01_correct.mp4,press,correct,True,,4,0,100,medium,limited,diagonal_side,correct,,"{""press_symmetry"": ""pass"", ""press_alignment"": ""pass"", ""press_rom"": ""pass""}","{""press_symmetry"": ""medium"", ""press_alignment"": ""medium"", ""press_rom"": ""low""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.3333333333333333, ""top"": 0.8666666666666667, ""end"": 2.0, ""press_s"": 0.4333333333333334, ""top_s"": 0.19999999999999996, ""lower_s"": 1.0, ""top_elbow_angle"": 160.25960127276105, ""bottom_elbow_angle"": 25.07702466134453, ""rom_degrees"": 135.18257661141652, ""left_rom"": 133.86457526579943, ""right_rom"": 138.9832127553422, ""max_elbow_angle_difference"": 6.547077416607266, ""max_wrist_height_difference"": 0.02805608805992188, ""max_left_alignment_offset"": 0.21494887641929433, ""max_right_alignment_offset"": 0.19323380181508598, ""top_timing_difference"": 0.0, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 2, ""start"": 3.1666666666666665, ""top"": 3.7, ""end"": 4.766666666666667, ""press_s"": 0.43333333333333357, ""top_s"": 0.19999999999999973, ""lower_s"": 0.9333333333333331, ""top_elbow_angle"": 166.6265728828045, ""bottom_elbow_angle"": 25.07702466134453, ""rom_degrees"": 141.54954822146, ""left_rom"": 140.40299339342272, ""right_rom"": 143.166972151097, ""max_elbow_angle_difference"": 6.106680008963849, ""max_wrist_height_difference"": 0.04400767566045072, ""max_left_alignment_offset"": 0.21156887135173416, ""max_right_alignment_offset"": 0.17155096923710378, ""top_timing_difference"": 0.0, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 3, ""start"": 5.733333333333333, ""top"": 6.333333333333333, ""end"": 7.3, ""press_s"": 0.5, ""top_s"": 0.20000000000000018, ""lower_s"": 0.833333333333333, ""top_elbow_angle"": 167.82144806787642, ""bottom_elbow_angle"": 24.02952476066691, ""rom_degrees"": 143.79192330720952, ""left_rom"": 138.8969447832469, ""right_rom"": 148.90729708729796, ""max_elbow_angle_difference"": 11.58448935146032, ""max_wrist_height_difference"": 0.11409769173193918, ""max_left_alignment_offset"": 0.23758196450831298, ""max_right_alignment_offset"": 0.18043228070759165, ""top_timing_difference"": 0.09999999999999964, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 4, ""start"": 8.433333333333334, ""top"": 8.966666666666667, ""end"": 9.866666666666667, ""press_s"": 0.43333333333333357, ""top_s"": 0.1999999999999993, ""lower_s"": 0.7666666666666675, ""top_elbow_angle"": 164.48711425514904, ""bottom_elbow_angle"": 24.02952476066691, ""rom_degrees"": 140.45758949448214, ""left_rom"": 136.75024248305675, ""right_rom"": 144.3853317620334, ""max_elbow_angle_difference"": 11.645314437877062, ""max_wrist_height_difference"": 0.07614731619443516, ""max_left_alignment_offset"": 0.2581255002739751, ""max_right_alignment_offset"": 0.22785734557525883, ""top_timing_difference"": 0.09999999999999964, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}], ""thresholds"": {""rest_level"": 134.0, ""start_level"": 126.0, ""extreme_level"": 110.0, ""end_level"": 130.0}}"
SP02_asymmetric.mp4,press,press_symmetry,True,,4,0,67,medium,limited,diagonal_side,press_rom;press_symmetry,,"{""press_symmetry"": ""fail"", ""press_alignment"": ""pass"", ""press_rom"": ""fail""}","{""press_symmetry"": ""medium"", ""press_alignment"": ""medium"", ""press_rom"": ""low""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.9666666666666667, ""top"": 1.7, ""end"": 2.6666666666666665, ""press_s"": 0.6333333333333334, ""top_s"": 0.19999999999999996, ""lower_s"": 0.8333333333333333, ""top_elbow_angle"": 164.36612648912504, ""bottom_elbow_angle"": 24.83605946716827, ""rom_degrees"": 139.53006702195677, ""left_rom"": 137.34560970047303, ""right_rom"": 141.69922322510052, ""max_elbow_angle_difference"": 6.541290129120597, ""max_wrist_height_difference"": 0.050580887562645005, ""max_left_alignment_offset"": 0.33611211037424815, ""max_right_alignment_offset"": 0.2522887821826591, ""top_timing_difference"": 0.0, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 2, ""start"": 3.6, ""top"": 4.266666666666667, ""end"": 5.1, ""press_s"": 0.5666666666666669, ""top_s"": 0.1999999999999993, ""lower_s"": 0.6999999999999993, ""top_elbow_angle"": 108.63976498078121, ""bottom_elbow_angle"": 27.230917331563216, ""rom_degrees"": 81.40884764921799, ""left_rom"": 30.169015494074817, ""right_rom"": 132.82536782891577, ""max_elbow_angle_difference"": 47.993569404789845, ""max_wrist_height_difference"": 0.794377355723912, ""max_left_alignment_offset"": 0.2992499246274087, ""max_right_alignment_offset"": 0.246060491855435, ""top_timing_difference"": 0.10000000000000053, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 3, ""start"": 6.033333333333333, ""top"": 6.666666666666667, ""end"": 7.566666666666666, ""press_s"": 0.5333333333333332, ""top_s"": 0.20000000000000018, ""lower_s"": 0.7666666666666666, ""top_elbow_angle"": 160.3718923588312, ""bottom_elbow_angle"": 23.838109436736886, ""rom_degrees"": 136.5337829220943, ""left_rom"": 139.18307221089378, ""right_rom"": 133.62392810970383, ""max_elbow_angle_difference"": 4.29643778772045, ""max_wrist_height_difference"": 0.06891171838926524, ""max_left_alignment_offset"": 0.3109300530222231, ""max_right_alignment_offset"": 0.23668102525604853, ""top_timing_difference"": 0.0, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 4, ""start"": 8.7, ""top"": 9.433333333333334, ""end"": 10.166666666666666, ""press_s"": 0.6333333333333346, ""top_s"": 0.1999999999999993, ""lower_s"": 0.5999999999999996, ""top_elbow_angle"": 113.24061866359702, ""bottom_elbow_angle"": 23.838109436736886, ""rom_degrees"": 89.40250922686013, ""left_rom"": 138.51810135393924, ""right_rom"": 40.026351576190066, ""max_elbow_angle_difference"": 41.77601058908595, ""max_wrist_height_difference"": 0.9093469462143301, ""max_left_alignment_offset"": 0.2798076657907548, ""max_right_alignment_offset"": 0.34964289393829434, ""top_timing_difference"": 0.2333333333333325, ""higher_side"": ""left"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}], ""thresholds"": {""rest_level"": 134.0, ""start_level"": 126.0, ""extreme_level"": 110.0, ""end_level"": 130.0}}"
SP04_incomplete_rom.mp4,press,press_rom,True,,3,0,67,high,good,frontal,press_rom,,"{""press_symmetry"": ""pass"", ""press_alignment"": ""pass"", ""press_rom"": ""fail""}","{""press_symmetry"": ""high"", ""press_alignment"": ""high"", ""press_rom"": ""high""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.26666666666666666, ""top"": 0.6333333333333333, ""end"": 1.2333333333333334, ""press_s"": 0.26666666666666666, ""top_s"": 0.19999999999999996, ""lower_s"": 0.4666666666666667, ""top_elbow_angle"": 111.20151001674338, ""bottom_elbow_angle"": 26.21022276906133, ""rom_degrees"": 84.99128724768205, ""left_rom"": 90.15433019489147, ""right_rom"": 79.82824430047263, ""max_elbow_angle_difference"": 2.6639956119322648, ""max_wrist_height_difference"": 0.045029974749411394, ""max_left_alignment_offset"": 0.3104960874078547, ""max_right_alignment_offset"": 0.2102387494447303, ""top_timing_difference"": 0.0, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 2, ""start"": 2.066666666666667, ""top"": 2.433333333333333, ""end"": 3.033333333333333, ""press_s"": 0.2666666666666666, ""top_s"": 0.19999999999999973, ""lower_s"": 0.46666666666666634, ""top_elbow_angle"": 100.61515996844068, ""bottom_elbow_angle"": 23.905964648001536, ""rom_degrees"": 76.70919532043914, ""left_rom"": 77.53778464281646, ""right_rom"": 75.84996957327218, ""max_elbow_angle_difference"": 6.803119222389427, ""max_wrist_height_difference"": 0.08815820782339012, ""max_left_alignment_offset"": 0.30240033169882363, ""max_right_alignment_offset"": 0.20522022935654097, ""top_timing_difference"": 0.033333333333333215, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 3, ""start"": 4.2, ""top"": 4.666666666666667, ""end"": 5.233333333333333, ""press_s"": 0.36666666666666625, ""top_s"": 0.20000000000000018, ""lower_s"": 0.43333333333333357, ""top_elbow_angle"": 108.75418010710999, ""bottom_elbow_angle"": 23.905964648001536, ""rom_degrees"": 84.84821545910845, ""left_rom"": 87.31153037137045, ""right_rom"": 82.52359366766191, ""max_elbow_angle_difference"": 3.8255976494583734, ""max_wrist_height_difference"": 0.03297846914089575, ""max_left_alignment_offset"": 0.30594699232232025, ""max_right_alignment_offset"": 0.17394318496154024, ""top_timing_difference"": 0.0, ""higher_side"": ""right"", ""both_arms_ratio"": 1.0, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}], ""thresholds"": {""rest_level"": 134.0, ""start_level"": 126.0, ""extreme_level"": 110.0, ""end_level"": 130.0}}"
SP05_side_view.mp4,press,correct,True,,4,2,100,medium,limited,side,correct,press_alignment;press_symmetry,"{""press_symmetry"": ""not_evaluable"", ""press_alignment"": ""not_evaluable"", ""press_rom"": ""pass""}","{""press_symmetry"": ""cannot_assess"", ""press_alignment"": ""cannot_assess"", ""press_rom"": ""medium""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.23333333333333334, ""top"": 0.9333333333333333, ""end"": 1.9, ""press_s"": 0.6000000000000001, ""top_s"": 0.20000000000000007, ""lower_s"": 0.8333333333333333, ""top_elbow_angle"": 170.20620890551504, ""bottom_elbow_angle"": 48.909422783757094, ""rom_degrees"": 121.29678612175795, ""left_rom"": 130.43176199996572, ""right_rom"": 117.48235310018973, ""max_elbow_angle_difference"": NaN, ""max_wrist_height_difference"": NaN, ""max_left_alignment_offset"": 0.22609462416211842, ""max_right_alignment_offset"": NaN, ""top_timing_difference"": 0.20000000000000007, ""higher_side"": ""left"", ""both_arms_ratio"": 0.39215686274509803, ""symmetry_reliable"": false, ""alignment_reliable"": true, ""valid_frame_ratio"": 0.9215686274509803}, {""rep"": 2, ""start"": 3.0, ""top"": 3.6666666666666665, ""end"": 4.466666666666667, ""press_s"": 0.5666666666666669, ""top_s"": 0.19999999999999973, ""lower_s"": 0.666666666666667, ""top_elbow_angle"": 169.2317768782101, ""bottom_elbow_angle"": 48.909422783757094, ""rom_degrees"": 120.322354094453, ""left_rom"": 126.73099764823489, ""right_rom"": 122.03263828946388, ""max_elbow_angle_difference"": NaN, ""max_wrist_height_difference"": NaN, ""max_left_alignment_offset"": 0.08934586958924072, ""max_right_alignment_offset"": NaN, ""top_timing_difference"": 0.10000000000000009, ""higher_side"": ""left"", ""both_arms_ratio"": 0.3111111111111111, ""symmetry_reliable"": false, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 3, ""start"": 5.333333333333333, ""top"": 6.1, ""end"": 6.966666666666667, ""press_s"": 0.666666666666667, ""top_s"": 0.20000000000000018, ""lower_s"": 0.7333333333333334, ""top_elbow_angle"": 166.27288144457464, ""bottom_elbow_angle"": 47.52808840364877, ""rom_degrees"": 118.74479304092586, ""left_rom"": 131.81461052712663, ""right_rom"": 113.5133802443136, ""max_elbow_angle_difference"": NaN, ""max_wrist_height_difference"": NaN, ""max_left_alignment_offset"": 0.11358928169715277, ""max_right_alignment_offset"": 0.04379637605068145, ""top_timing_difference"": 0.06666666666666732, ""higher_side"": ""right"", ""both_arms_ratio"": 0.44, ""symmetry_reliable"": false, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}, {""rep"": 4, ""start"": 8.066666666666666, ""top"": 8.633333333333333, ""end"": 9.633333333333333, ""press_s"": 0.4666666666666668, ""top_s"": 0.1999999999999993, ""lower_s"": 0.8666666666666654, ""top_elbow_angle"": 163.81591898164015, ""bottom_elbow_angle"": 54.30406700690551, ""rom_degrees"": 109.51185197473464, ""left_rom"": 132.60870783565306, ""right_rom"": 102.57327095548105, ""max_elbow_angle_difference"": 4.249717754808188, ""max_wrist_height_difference"": NaN, ""max_left_alignment_offset"": 0.24645359597547759, ""max_right_alignment_offset"": 0.1349569843470726, ""top_timing_difference"": 0.3999999999999986, ""higher_side"": ""left"", ""both_arms_ratio"": 0.7708333333333334, ""symmetry_reliable"": true, ""alignment_reliable"": true, ""valid_frame_ratio"": 1.0}], ""thresholds"": {""rest_level"": 119.1, ""start_level"": 111.1, ""extreme_level"": 95.1, ""end_level"": 115.1}}"
SQ01a_correct_weighted.mp4,squat,correct,True,,3,0,100,high,good,side,correct,,"{""squat_depth"": ""pass"", ""torso_lean"": ""pass"", ""heel_lift"": ""pass"", ""return_to_standing"": ""pass"", ""descent_control"": ""pass""}","{""squat_depth"": ""high"", ""torso_lean"": ""high"", ""heel_lift"": ""high"", ""return_to_standing"": ""high"", ""descent_control"": ""high""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.43333333333333335, ""bottom"": 1.3, ""end"": 3.0, ""descent_s"": 0.7666666666666666, ""bottom_s"": 0.19999999999999996, ""ascent_s"": 1.5666666666666667, ""min_knee_angle"": 85.78171754451441, ""max_torso_lean"": 25.1363424293207, ""shin_at_bottom"": 28.176001713069226, ""max_knee_asymmetry"": NaN, ""valid_frame_ratio"": 1.0}, {""rep"": 2, ""start"": 4.0, ""bottom"": 5.0, ""end"": 6.333333333333333, ""descent_s"": 0.9000000000000004, ""bottom_s"": 0.1999999999999993, ""ascent_s"": 1.1999999999999993, ""min_knee_angle"": 88.90325438708302, ""max_torso_lean"": 28.215534700248337, ""shin_at_bottom"": 31.716234217018563, ""max_knee_asymmetry"": NaN, ""valid_frame_ratio"": 1.0}, {""rep"": 3, ""start"": 7.233333333333333, ""bottom"": 8.166666666666666, ""end"": 9.6, ""descent_s"": 0.833333333333333, ""bottom_s"": 0.20000000000000107, ""ascent_s"": 1.299999999999999, ""min_knee_angle"": 97.49765265796015, ""max_torso_lean"": 23.906545344116875, ""shin_at_bottom"": 29.065484364416186, ""max_knee_asymmetry"": NaN, ""valid_frame_ratio"": 1.0}], ""thresholds"": {}}"
SQ01b_correct_bodyweight.mp4,squat,correct,True,,2,0,100,high,good,side,correct,,"{""squat_depth"": ""pass"", ""torso_lean"": ""pass"", ""heel_lift"": ""pass"", ""return_to_standing"": ""pass"", ""descent_control"": ""pass""}","{""squat_depth"": ""high"", ""torso_lean"": ""high"", ""heel_lift"": ""high"", ""return_to_standing"": ""high"", ""descent_control"": ""high""}","{""rep_boundaries"": [{""rep"": 1, ""start"": 0.2, ""bottom"": 1.6, ""end"": 2.6666666666666665, ""descent_s"": 1.3, ""bottom_s"": 0.19999999999999996, ""ascent_s"": 0.9333333333333331, ""min_knee_angle"": 62.20805928168574, ""max_torso_lean"": 42.935083560509916, ""shin_at_bottom"": 27.737578042227206, ""max_knee_asymmetry"": 11.887589354341756, ""valid_frame_ratio"": 1.0}, {""rep"": 2, ""start"": 3.6333333333333333, ""bottom"": 5.0, ""end"": 5.933333333333334, ""descent_s"": 1.266666666666667, ""bottom_s"": 0.1999999999999993, ""ascent_s"": 0.7999999999999998, ""min_knee_angle"": 61.835572901917075, ""max_torso_lean"": 41.67675676966624, ""shin_at_bottom"": 26.210864643137004, ""max_knee_asymmetry"": 11.356832815389552, ""valid_frame_ratio"": 1.0}], ""thresholds"": {}}"
